Initializing...
It is recommended that this program runs with GNU screen!
create db.txt file based on date
all friends of top12k twitter accounts and their profile are stored in the db, now we start to find their most followed friends
query to find number of followers of friends and to store the output in friends file.
         269257 function calls (260423 primitive calls) in 0.892 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       43    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
        3    0.000    0.000    0.001    0.000 abstracts.py:935(_post_connection)
        1    0.000    0.000    0.001    0.001 subprocess.py:732(__init__)
        1    0.000    0.000    0.001    0.001 message.py:5(<module>)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
        1    0.000    0.000    0.001    0.001 sessions.py:3(<module>)
     3061    0.001    0.000    0.001    0.000 sre_parse.py:160(__len__)
        1    0.000    0.000    0.001    0.001 common.py:2(<module>)
      672    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
        1    0.000    0.000    0.001    0.001 __init__.py:441(StrFormatStyle)
        1    0.000    0.000    0.001    0.001 subprocess.py:1550(_execute_child)
        1    0.000    0.000    0.001    0.001 authorization_code.py:2(<module>)
      838    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
        1    0.000    0.000    0.001    0.001 dbref.py:15(<module>)
      528    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
        1    0.000    0.000    0.001    0.001 getlimits.py:96(_register_known_types)
      743    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.001    0.001 filepost.py:1(<module>)
        3    0.000    0.000    0.001    0.000 abstracts.py:869(set_charset_collation)
     1983    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
        1    0.000    0.000    0.001    0.001 read_preferences.py:15(<module>)
    42/41    0.000    0.000    0.001    0.000 {method 'encode' of 'str' objects}
        2    0.000    0.000    0.001    0.000 __init__.py:70(search_function)
     1001    0.001    0.000    0.001    0.000 __init__.py:501(<genexpr>)
        3    0.000    0.000    0.001    0.000 connection_cext.py:98(_do_handshake)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
        1    0.000    0.000    0.001    0.001 utils.py:5(<module>)
        1    0.000    0.000    0.001    0.001 _internal.py:1(<module>)
     1126    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:389(parent)
     2054    0.001    0.000    0.001    0.000 sre_parse.py:172(append)
        1    0.000    0.000    0.001    0.001 twodim_base.py:1(<module>)
        1    0.000    0.000    0.001    0.001 financial.py:1(<module>)
        3    0.000    0.000    0.001    0.000 abstracts.py:596(_check_server_version)
      552    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
      528    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.001    0.001 saslprep.py:15(<module>)
        6    0.000    0.000    0.001    0.000 getlimits.py:37(__init__)
      132    0.000    0.000    0.001    0.000 enum.py:828(__and__)
      637    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
     1579    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:867(__exit__)
        1    0.000    0.000    0.001    0.001 string.py:67(__init__)
      224    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
        1    0.000    0.000    0.001    0.001 subprocess.py:980(communicate)
     1579    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:863(__enter__)
        1    0.000    0.000    0.001    0.001 arraysetops.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ntpath.py:2(<module>)
       21    0.000    0.000    0.001    0.000 enum.py:171(<setcomp>)
      418    0.000    0.000    0.001    0.000 sre_parse.py:432(_uniq)
       43    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1520(path_hook_for_FileFinder)
     2779    0.001    0.000    0.001    0.000 {built-in method builtins.min}
      439    0.001    0.000    0.001    0.000 enum.py:368(__setattr__)
        1    0.000    0.000    0.001    0.001 pre_configured.py:2(<module>)
        1    0.000    0.000    0.001    0.001 fields.py:1(<module>)
        1    0.000    0.000    0.001    0.001 charsetgroupprober.py:28(<module>)
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
     4122    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.001    0.001 __init__.py:413(PercentStyle)
        1    0.000    0.000    0.001    0.001 idna.py:3(<module>)
        1    0.000    0.000    0.001    0.001 constants.py:29(<module>)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:1(<module>)
       34    0.000    0.000    0.001    0.000 __init__.py:2006(getLogger)
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
       14    0.000    0.000    0.001    0.000 hashlib.py:123(__get_openssl_constructor)
        1    0.001    0.001    0.001    0.001 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.001    0.001 monitor.py:15(<module>)
        1    0.000    0.000    0.001    0.001 uri_parser.py:16(<module>)
        2    0.000    0.000    0.001    0.000 utils.py:2(<module>)
        1    0.000    0.000    0.001    0.001 message.py:15(<module>)
      419    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
        8    0.000    0.000    0.001    0.000 hashlib.py:79(__get_builtin_constructor)
       34    0.000    0.000    0.001    0.000 __init__.py:1272(getLogger)
